,vari,deli,field,beta0,beta1,R2
1550,fu,1606,oi,0.026912181303116053,0.9132436260623229,0.83401392054346
1551,fu,1607,settle,131.40772812342573,0.9442089362951017,0.9293955070573388
1552,fu,1607,volume,0.1184124918672739,-0.03188028627195836,0.0010163526527825484
1553,fu,1607,oi,0.10870297585625988,0.9451993262212242,0.8934017662890559
1554,fu,1608,settle,167.14780816317005,0.9307775350110283,0.884919378454424
1555,fu,1608,volume,0.520961975171276,0.20207089878829887,0.04083264813711096
1556,fu,1608,oi,0.19436562626672077,0.9141670044588568,0.8357013120412797
1557,fu,1609,settle,74.34134811461809,0.9686036409870873,0.9244677456431522
1558,fu,1609,volume,0.3262082514734772,0.3469155206286837,0.12121243941709803
1559,fu,1609,oi,0.42895240055222517,0.6903420540392216,0.47657215157509203
1560,fu,1610,settle,43.6037410307772,0.9822962192647098,0.9604341907143474
1561,fu,1610,volume,0.0,0.0,
1562,fu,1610,oi,0.0,0.0,
1563,fu,1611,settle,23.48902305727279,0.9908396487176705,0.975436178865122
1564,fu,1611,volume,0.13223140495867772,-0.0041322314049586795,1.7075336383953754e-05
1565,fu,1611,oi,0.0,0.0,
1566,fu,1612,settle,241.64552930256514,0.9002565222004802,0.8022845199230534
1567,fu,1612,volume,0.31143394212248493,0.3091828920192151,0.09559406071736543
1568,fu,1612,oi,0.19907212146773515,0.8970898355124419,0.8047701729797402
1569,fu,1702,settle,-6.756429533894462,1.0048323351736344,0.9885852370284387
1570,fu,1702,volume,1.0330447539528738,0.4680260989259777,0.21904842927586876
1571,fu,1702,oi,0.3827705295471986,0.9267875415707341,0.8589351472107254
1572,fu,1703,settle,-1.0094109413946342,1.0026633685686492,0.9909808839042139
1573,fu,1703,volume,0.07812499999999996,0.050781249999999986,0.002578735351562833
1574,fu,1703,oi,0.04938271604938251,0.925925925925926,0.8573388203017833
1575,fu,1704,settle,15.583360712048393,0.9969228900971658,0.9922965925256343
1576,fu,1704,volume,4.673207763091486,0.8232270413400948,0.6777027615935662
1577,fu,1704,oi,0.7111113568845183,0.9840913220656472,0.9684357301649141
