vari,deli,beta0,beta1,R2
c,1611,0.010549649893474504,0.9779008340855464,0.9436071720859193
c,1701,0.013251571082627856,0.9699470144352628,0.9409655696640981
c,1703,0.01961770449627863,0.9588503677362311,0.9193621971800613
c,1705,0.00887733317158548,0.9866494956373109,0.9637572510161441
c,1707,0.008205650001860378,0.9876524125780703,0.9723979541600514
c,1709,0.01810698066028827,0.9765639239841971,0.973305359321524
c,1711,0.01908269239668564,0.9652298886161688,0.9473860491102
cf,1401,0.019090288918741587,0.9725758125330286,0.9353688577250721
cf,1403,0.015872228884159446,0.9643344325628606,0.9460597816841946
cf,1405,-0.01055595799795387,1.0099581954605008,0.9800957576057386
cf,1407,-0.0016826074826963126,0.9962103111674159,0.9833452344331922
cf,1409,0.004774521987826548,0.9883772110383391,0.9777799347766261
cf,1411,-0.00405569761164017,0.9999259677913088,0.9907544272005023
cf,1501,-0.002029383176094199,0.9973264080875608,0.9927300035260482
cf,1503,-0.0005125826502410122,0.9930306067231742,0.9917396594116208
cf,1505,0.002071372351528264,0.9837426706997209,0.9877027511472036
cf,1507,0.0044256085295116265,0.9816111957322534,0.9676077979685477
cf,1509,0.007289550984994285,0.9803956632896643,0.9624399701001479
cf,1511,0.004074400825106812,0.9894405782382074,0.9739040563315519
cf,1601,-0.0014386786306933405,0.9959533526506084,0.9909754600762173
cf,1603,-0.0024851458705231174,0.9977232082882761,0.9902010842260209
cf,1605,0.003733755212745512,0.9866055010659671,0.9885660637333186
cf,1607,-0.0010978282781847204,1.0078252569140447,0.9817246226808449
cf,1609,0.002623564333055754,0.9949530270755247,0.9870174099381812
cf,1611,0.0026826940175724845,0.9997564682742492,0.9908493518525375
cf,1701,0.006099039203048296,0.9936863063669077,0.9915114737890519
cf,1703,0.01674596419679019,0.9803546844943438,0.9855075037040798
cf,1705,0.025688980114269913,0.9649629448516734,0.9583748508997664
cf,1707,0.02618541684597795,0.9513585724151654,0.9072777336102278
cf,1709,0.026643670321173617,0.9425032195776206,0.8994982132707845
cf,1711,0.014038466327050705,0.9640108884154328,0.9255468795018456
cs,1503,0.045012628596082176,0.9052266506621214,0.7917478954331103
cs,1505,0.010027653623802542,0.9816509167177265,0.9645951765213778
cs,1507,0.024133075059520087,0.9511089210962276,0.9063288485469669
